char:之, acc:0.2727272727272727
char:子, acc:0.4090909090909091
char:于, acc:1.0
char:也, acc:1.0
char:以, acc:0.2857142857142857
char:不, acc:1.0
char:公, acc:0.8095238095238095
char:而, acc:0.5714285714285714
char:人, acc:0.6818181818181818
char:其, acc:0.6818181818181818
char:晋, acc:1.0
char:侯, acc:0.9523809523809523
char:君, acc:0.7727272727272727
char:为, acc:0.5714285714285714
char:郑, acc:1.0
char:使, acc:0.8571428571428571
char:楚, acc:0.9523809523809523
char:齐, acc:0.95
char:大, acc:0.47619047619047616
char:有, acc:0.8571428571428571
char:师, acc:0.8636363636363636
char:诸, acc:0.6190476190476191
char:王, acc:0.8181818181818182
char:无, acc:0.9
char:伯, acc:0.9
