char:之, sent:宋败，齐必还，请击之。, predict:2, gold:3
char:之, sent:文王将死，与之璧，使行，曰，唯我知女，女专利而不厌，予取予求，不女疵瑕也。, predict:2, gold:3
char:之, sent:六月戊戌，取之，获孙昭子。, predict:2, gold:3
char:之, sent:涛涂以告，齐侯许之。, predict:2, gold:3
char:之, sent:既东封郑，又欲肆其西封，不阙秦，将焉取之。, predict:2, gold:3
char:之, sent:若取之，是无申、吕也。, predict:2, gold:3
char:之, sent:鲁人辱之，故不书，讳之也。, predict:2, gold:3
char:之, sent:秦为令狐之役故，冬，秦伯伐晋，取羁马。, predict:2, gold:8
char:之, sent:曰：是谓观国之光，利用宾于王。, predict:2, gold:8
char:之, sent:今之王，古之帝也。, predict:2, gold:8
char:之, sent:今令尹不寻诸仇雠，而于未亡人之侧，不亦异乎。, predict:2, gold:8
char:之, sent:文子赋《采薇》之四章。, predict:2, gold:8
char:之, sent:在位之中，一朝于襄，而再见于君。, predict:2, gold:8
char:之, sent:若敖卒，从其母畜于云阜，淫于云阜子之女，生子文焉云阜夫人使弃诸梦中，虎乳之。, predict:2, gold:8
char:之, sent:若舍郑以为东道主，行李之往来，共其乏困，君亦无所害。, predict:2, gold:2
char:之, sent:辞曰：臣之壮也，犹不如人，今老矣，无能为也已。, predict:2, gold:2
char:之, sent:反之，可乎。, predict:2, gold:2
char:之, sent:始之不从，其何质乎。, predict:2, gold:2
char:之, sent:公将鼓之。, predict:2, gold:2
char:之, sent:君其忍之。, predict:2, gold:97
char:之, sent:夫诸侯之会，其德刑礼义，无国不记。, predict:2, gold:97
char:之, sent:问绛事焉，曰：梁山崩，将召伯宗谋之。, predict:2, gold:97
char:子, sent:十年春，晋侯使籴伐如楚，报大宰子商之使也。, predict:1, gold:97
char:子, sent:子反欲取夏姬，巫臣止之，遂取以行，子反亦怨之。, predict:1, gold:97
char:子, sent:或问其故，子罕曰：宋国区区，而且诅有祝，祸之本也。, predict:1, gold:97
char:子, sent:楚人执皇戌及子国。, predict:1, gold:97
char:子, sent:子之佐十一人，其不欲战者，三人而已。, predict:1, gold:97
char:子, sent:然吾子，主也，至敢不从。, predict:1, gold:97
char:子, sent:秦穆公之为君也，举人之周也，与人之壹也；孟明之臣也，其不解也，能惧思也；子桑之忠也，其知人也，能举善也。, predict:1, gold:97
char:子, sent:子囊伐陈。, predict:1, gold:97
char:子, sent:郑子罕赂以襄钟，子然盟于修泽，子驷为质。, predict:1, gold:97
char:子, sent:宁庄子曰：昔周饥，克殷而年丰。, predict:1, gold:2
char:子, sent:公子偃曰：宋师不整，可败也。, predict:1, gold:2
char:子, sent:于是陈乱，文公子佗杀大子免而代之。, predict:1, gold:2
char:子, sent:二月，季文子以鞍之功立武宫，非礼也。, predict:1, gold:2
char:子, sent:君子曰：不备不虞，不可以师。, predict:1, gold:2
char:子, sent:州吁未能和其民，厚问定君于石子。, predict:1, gold:2
char:子, sent:姞，吉人也，后稷之元妃也，今公子兰，姞甥也。, predict:1, gold:2
char:子, sent:秋，季武子如卫，报子叔之聘，且辞缓报，非贰也。, predict:1, gold:2
char:子, sent:二十二年春，陈人杀其大子御寇，陈公子完与颛孙奔齐。, predict:1, gold:1
char:子, sent:冬，楚公子罢如晋聘，且莅盟。, predict:1, gold:1
char:子, sent:桓公之子七人，为七大夫于楚。, predict:1, gold:1
char:子, sent:夏五月，晋士燮会楚公子罢、许偃。, predict:1, gold:1
char:子, sent:楚子伐陆浑之戎，遂至于洛，观兵于周疆。, predict:1, gold:8
char:于, sent:楚子囊围陈，会于鄬以救之。, predict:2, gold:2
char:于, sent:四年二月壬戌，为齐侵蔡，亦获成于楚。, predict:2, gold:2
char:于, sent:夏四月丁丑，晋迁于新田。, predict:2, gold:2
char:于, sent:余得请于帝矣。, predict:2, gold:2
char:于, sent:宋华元善于令尹子重，又善于栾武子。, predict:2, gold:2
char:于, sent:故孟献子、孙文子会吴于善道。, predict:2, gold:2
char:于, sent:晋巩朔行成于郑，赵穿、公婿池为质焉。, predict:2, gold:2
char:于, sent:冬，复会于戚，齐崔武子及滕、薛、小邾之大夫皆会，知武子之言故也。, predict:2, gold:2
char:于, sent:罃将复于寡君，而请于齐。, predict:2, gold:2
char:于, sent:故春蒐夏苗，秋獮冬狩，皆于农隙以讲事也。, predict:2, gold:2
char:于, sent:楚子伐陆浑之戎，遂至于洛。, predict:2, gold:2
char:于, sent:《诗》曰：刑于寡妻，至于兄弟，以御于家邦。, predict:2, gold:2
char:于, sent:十二月戊申，缢于新城。, predict:2, gold:2
char:于, sent:叹曰：是夫也，将不唯卫国之败，其必始于未亡人。, predict:2, gold:2
char:于, sent:东门襄仲将聘于周，遂初聘于晋。, predict:2, gold:2
char:于, sent:谓陈人无动，将讨于少西氏。, predict:2, gold:2
char:于, sent:夏，郑杀申侯以说于齐，且用陈辕涛涂之谮也。, predict:2, gold:2
char:于, sent:生声伯而出之，嫁于齐管于奚。, predict:2, gold:2
char:于, sent:于是初献六羽，始用六佾也。, predict:2, gold:2
char:于, sent:癸亥，盟于宋西门之外，曰：凡晋、楚无相加戎，好恶同之，同恤菑危，备救凶患。, predict:2, gold:2
char:也, sent:秋，入杞，责无礼也。, predict:0, gold:0
